id	candidate	status	priority	destination	supporting_sources	notes
RR001	Fixed-row interlacing of toric g-contribution polynomials and all nonnegative row sums	missing	P0	tex-source/polytopes.tex#toricGContributionPolynomial	arXiv:2609.05131v1 Thm. 8.1 pp. 10-14; Cor. 8.4 p. 14	Current checkout still labels Xiao Conj. 4.2 a conjecture; also turns its conditional simple-polytope consequence into a theorem.
RR002	Noncrossing-partition Chow polynomials via tieless parking functions and Smirnov words	missing	P1	tex-source/realRootedGraphs.tex#realRootsChow; tex-source/realRootedWords.tex#parkingFunctionDescentsRealRooted	arXiv:2609.05131v1 Thm. 1.1 pp. 1,5; Thm. 4.2 p. 5	Distinct from the already covered ordinary parking-function descent polynomial.
RR003	Descent polynomial of derangements	missing	P1	tex-source/realRootedWords.tex#peakRunDerangementPolynomials	arXiv:2609.07325v1 Thm. 2.1 p. 3	Uses descents, not the classical excedance normalization already on the page; roots are nonpositive for n>=2.
RR004	Super-Eulerian real-rootedness, consecutive interlacing, and real-rooted gamma polynomial	partial	P1	tex-source/realRootedWords.tex#eulerianPolynomial; tex-source/gammaPositivity.tex#gammaPositiveExamples	arXiv:2609.07325v1 Thm. 5.1 pp. 12-14	Current page cites Shankar's log-concavity paper and leaves real-rootedness/gamma-nonnegativity as questions.
RR005	Stable peak-value refinement and weighted diagonal interlacing	missing	P2	tex-source/realRootedWords.tex#peakRunDerangementPolynomials; tex-source/stablePolynomials.tex#stablePolynomialExamples	arXiv:2609.07325v1 Thm. 6.3 p. 15	Keep multivariate stability distinct from the resulting positive-weight diagonal statement.
RR006	Even-top descent strict interlacing, cyclic-path descents, and ternary increasing-run polynomials	missing	P3	tex-source/realRootedWords.tex#eulerianPolynomial; tex-source/realRootedCatalan.tex#realRootedCatalan	arXiv:2609.07325v1 Thms. 3.1, 4.1, 6.1 pp. 9-15	Useful compact follow-on only after RR003-RR005; cyclic polynomial has a simple zero at 0 and otherwise simple negative roots.
RR007	Sparse-paving matroid Z and gamma polynomials have only negative real roots	missing	P1	tex-source/matroids.tex (Kazhdan--Lusztig/Z section)	arXiv:2609.07636v1 Thm. 1.1 p. 2	Directly extends current thagomizer/K2,n coverage and uses existing sparse-paving definitions.
RR008	Strict interlacing for uniform-matroid Z and gamma polynomials	missing	P2	tex-source/matroids.tex (Kazhdan--Lusztig/Z section); tex-source/realRootedInterlacing.tex	arXiv:2609.07636v1 Thms. 1.2-1.3 pp. 2-3	Record exact rank/corank directions and d>=2 exception in gamma fixed-rank comparison.
RR009	UMEL-shellable poset Chow, augmented Chow, and chain-polynomial real-rootedness	missing	P1	tex-source/realRootedGraphs.tex#realRootsChow; tex-source/matroids.tex#matroidChowPolynomials	arXiv:2511.13819v2 Thms. 1.2, 1.5, 1.8 pp. 3-6	Covers uniform, projective/affine geometries, type A/B braid matroids, Dowling geometries, and rank-selected variants; current page covers overlapping but different TN/positive-h classes.
RR010	Rook-Eulerian polynomials on Ferrers boards and same-phase-stable refinement	missing	P1	tex-source/realRootedWords.tex; tex-source/realRootedGraphs.tex#realRootedRook; tex-source/stablePolynomials.tex	arXiv:2502.05939v1 Thms. 12-13 pp. 7-8	Complete-rook case is a Bruhat interval below a 312-avoiding permutation; theorem applies more generally to row-complete placements.
